Вопрос,Ответ
Авторизация для учителей в регионах,https://help.myschool.mosreg.ru/instructions/mesh-id/authorization-esia/authorization-teachersreg/
Инструкция по авторизации в системе МЭШ для учителей,https://help.myschool.mosreg.ru/instructions/mesh-id/authorization-esia/authorization-teachersreg/
Авторизация в системе МЭШ для учителей,https://help.myschool.mosreg.ru/instructions/mesh-id/authorization-esia/authorization-teachersreg/
Авторизация для учащихся и родителей в регионах,https://help.myschool.mosreg.ru/instructions/mesh-id/authorization-esia/authorization-diaryreg/
Как авторизоваться на портале "Моя школа",https://help.myschool.mosreg.ru/instructions/mesh-id/authorization-esia/authorization-diaryreg/
Авторизация в системе МЭШ,https://help.myschool.mosreg.ru/instructions/mesh-id/authorization-esia/authorization-diaryreg/
Регистрация для учащихся учителей и родителей в регионах,https://help.myschool.mosreg.ru/instructions/mesh-id/registration-esia/gosuslugi/
Инструкция по регистрации в системе МЭШ для учителей,https://help.myschool.mosreg.ru/instructions/mesh-id/registration-esia/gosuslugi/
Регистрация для учителей,https://help.myschool.mosreg.ru/instructions/mesh-id/registration-esia/gosuslugi/
Упрощенная регистрация детей на Госуслугах,https://help.myschool.mosreg.ru/instructions/mesh-id/registration-esia/simplified-gosuslugi/
Как зарегистрироваться на портале "Моя школа",https://help.myschool.mosreg.ru/instructions/mesh-id/registration-esia/simplified-gosuslugi/
Регистрация для учащихся,https://help.myschool.mosreg.ru/instructions/mesh-id/registration-esia/simplified-gosuslugi/
Возможности портфолио учащегося,https://help.myschool.mosreg.ru/instructions/portfolio-student/opportunities-portfolio/features-portfolio/
Портфолио,https://help.myschool.mosreg.ru/instructions/portfolio-student/opportunities-portfolio/features-portfolio/
Настройки портфолио,https://help.myschool.mosreg.ru/instructions/portfolio-student/opportunities-portfolio/settings-portfolio/
Ошибка данных в портфолио,https://help.myschool.mosreg.ru/instructions/portfolio-student/opportunities-portfolio/settings-portfolio/
Создание ссылки на портфолио,https://help.myschool.mosreg.ru/instructions/portfolio-student/opportunities-portfolio/link-portfolio/
Настройки портфолио учителя,https://help.myschool.mosreg.ru/instructions/portfolio-teacher/acquaintance/settings-portfolio-teacher/
Портфолио учителя,https://help.myschool.mosreg.ru/instructions/portfolio-teacher/acquaintance/settings-portfolio-teacher/
Создание ссылки на портфолио учителя,https://help.myschool.mosreg.ru/instructions/portfolio-teacher/acquaintance/link-portfolio-teacher/
Раздел «Обо мне»,https://help.myschool.mosreg.ru/instructions/portfolio-teacher/acquaintance/category-aboutme/
Портфолио - Обо мне,https://help.myschool.mosreg.ru/instructions/portfolio-teacher/acquaintance/category-aboutme/
Привязка учетных записей в дневнике к Сферум в VK Мессенджере,https://help.myschool.mosreg.ru/instructions/distance-lessons/distance-lesson-student/linking-students/
Сферум,https://help.myschool.mosreg.ru/instructions/distance-lessons/distance-lesson-student/linking-students/
Регистрация в Сферум,https://help.myschool.mosreg.ru/instructions/distance-lessons/distance-lesson-student/linking-students/
Подключение к дистанционному уроку из электронного дневника и работа с панелью управления для ученика,https://help.myschool.mosreg.ru/instructions/distance-lessons/distance-lesson-student/connecting-student/
Подключение к дистанционному уроку для ученика,https://help.myschool.mosreg.ru/instructions/distance-lessons/distance-lesson-student/connecting-student/
Чаты Сферум для учащихся,https://help.myschool.mosreg.ru/instructions/distance-lessons/distance-lesson-student/chat-sferum/
Родительский чат,https://help.myschool.mosreg.ru/instructions/distance-lessons/distance-lesson-student/chat-sferum/
Привязка учетной записи в журнале к Сферум в VK Мессенджере,https://help.myschool.mosreg.ru/instructions/distance-lessons/distance-lesson-teacher/teacher-binding/
Подключение к дистанционному уроку из журнала и работа с панелью управления для учителя,https://help.myschool.mosreg.ru/instructions/distance-lessons/distance-lesson-teacher/connecting-teacher/
Подключение к дистанционному уроку для учителя,https://help.myschool.mosreg.ru/instructions/distance-lessons/distance-lesson-teacher/connecting-teacher/
Чаты Сферум для учителей,https://help.myschool.mosreg.ru/instructions/distance-lessons/distance-lesson-teacher/sferum-chat/
Работа в учебных чатах,https://help.myschool.mosreg.ru/instructions/distance-lessons/distance-lesson-teacher/sferum-chat/
Возможности дневника,https://help.myschool.mosreg.ru/instructions/diary/acquaintance-diary/diary-options/
Расписание уроков,https://help.myschool.mosreg.ru/instructions/diary/acquaintance-diary/diary-options/
Успеваемость,https://help.myschool.mosreg.ru/instructions/diary/acquaintance-diary/diary-options/
Задания,https://help.myschool.mosreg.ru/instructions/diary/acquaintance-diary/diary-options/
Личный кабинет родителя,https://help.myschool.mosreg.ru/instructions/diary/acquaintance-diary/diary-options/
Навигация по дневнику,https://help.myschool.mosreg.ru/instructions/diary/acquaintance-diary/start-page/
Единый календарь для учащихся и родителей,https://help.myschool.mosreg.ru/instructions/diary/section-schedule-diary/unifiedcalendar/
Календарь,https://help.myschool.mosreg.ru/instructions/diary/section-schedule-diary/unifiedcalendar/
Расписание,https://help.myschool.mosreg.ru/instructions/diary/section-schedule-diary/unifiedcalendar/
Информация об уроке,https://help.myschool.mosreg.ru/instructions/diary/section-schedule-diary/lesson-details/
Домашние задания,https://help.myschool.mosreg.ru/instructions/diary/section-homework/diary-homework/
Текущие оценки,https://help.myschool.mosreg.ru/instructions/diary/section-mark/diary-marks/
Тематическое оценивание для учащихся и родителей,https://help.myschool.mosreg.ru/instructions/diary/section-mark/evaluating-child/
Архив дневников,https://help.myschool.mosreg.ru/instructions/diary/section-mark/diary-archive/
Рейтинг ученика,https://help.myschool.mosreg.ru/reg-help/instructions/diary/section-mark/student-rating/
Учебные планы,https://help.myschool.mosreg.ru/instructions/diary/section-educational/diary-curriculums/
Учебные программы,https://help.myschool.mosreg.ru/instructions/diary/section-educational/diary-programms/
Академическая задолженность,https://help.myschool.mosreg.ru/instructions/diary/section-educational/diary-attestation/
Посещаемость и уведомление об отсутствии,https://help.myschool.mosreg.ru/instructions/diary/section-school/noticeofabsence/
Новости для учащихся и родителей,https://help.myschool.mosreg.ru/instructions/diary/section-school/diary-events/
Уведомления в дневнике,https://help.myschool.mosreg.ru/instructions/diary/other-diary-features/diary-notifications/
Сообщения в дневнике,https://help.myschool.mosreg.ru/instructions/diary/other-diary-features/diary-chatrooms/
Изменение контактных данных и аватара в дневнике,https://help.myschool.mosreg.ru/instructions/diary/parents-profile/my-profile/
Изменение контактных данных детей в дневнике,https://help.myschool.mosreg.ru/instructions/diary/parents-profile/my-child/
Возможности электронного журнала,https://help.myschool.mosreg.ru/instructions/journal/opportunities-journal/featuresjournal/
Раздел «Мое расписание»,https://help.myschool.mosreg.ru/instructions/journal/teacher-schedule/schedule-section/
Рабочий стол учителя,https://help.myschool.mosreg.ru/instructions/journal/teacher-schedule/main-page/
Навигационная панель в электронном журнале,https://help.myschool.mosreg.ru/instructions/journal/teacher-schedule/navigation-panel/
Поурочные планы,https://help.myschool.mosreg.ru/instructions/journal/pplan-teacher/lesson-plan/
Связь поурочных планов с группами,https://help.myschool.mosreg.ru/instructions/journal/pplan-teacher/connection-plan/
Календарно-тематическое планирование,https://help.myschool.mosreg.ru/instructions/journal/pplan-teacher/calendar-plan/
Журнал класса,https://help.myschool.mosreg.ru/instructions/journal/teacher-journal/journal-tab/
Карточка урока,https://help.myschool.mosreg.ru/instructions/journal/teacher-journal/lesson-card/
Работа с комментариями в карточке урока,https://help.myschool.mosreg.ru/instructions/journal/teacher-journal/comment-lesson-card/
Раздел «Уведомление о пропусках»,https://help.myschool.mosreg.ru/instructions/journal/attendance/notification-absences/
Раздел «Отсутствующие сегодня»,https://help.myschool.mosreg.ru/instructions/journal/attendance/absent-today/
Раздел «Учащиеся и родители»,https://help.myschool.mosreg.ru/instructions/journal/class-guide/students-and-parents/
Раздел «Расписание класса»,https://help.myschool.mosreg.ru/instructions/journal/class-guide/class-schedule/
Раздел «Новости»,https://help.myschool.mosreg.ru/instructions/journal/useful-information/section-news/
Раздел «Мероприятия»,https://help.myschool.mosreg.ru/instructions/journal/useful-information/event-section/
Отчеты учителей,https://help.myschool.mosreg.ru/instructions/journal/report/teacher-report/
Отчеты классных руководителей,https://help.myschool.mosreg.ru/instructions/journal/report/classroom-report/
Возможности администратора в электронном журнале,https://help.myschool.mosreg.ru/instructions/journal/journal-admin/features-admin/
"Справочник «Здания, кабинеты, места»",https://help.myschool.mosreg.ru/instructions/journal/journal-admin/building/
Справочник «Кадры»,https://help.myschool.mosreg.ru/instructions/journal/journal-admin/personnel/
Печать аттестатов,https://help.myschool.mosreg.ru/instructions/journal/organization-school/print-certificates/
Возможности образовательного учета,https://help.myschool.mosreg.ru/instructions/schoolreg/acquaintance-schoolreg/features-schoolreg/
Возможности образовательного учета,https://help.myschool.mosreg.ru/instructions/schoolreg/acquaintance-schoolreg/features-schoolreg/
Начало работы в мобильном дневнике,https://help.myschool.mosreg.ru/instructions/app-diary/mobile-diary/working-mobile-diary/
Определение геолокации учащегося,https://help.myschool.mosreg.ru/instructions/app-diary/mobile-diary/geolocation/
Мобильное приложение «Спутник» для учащихся,https://help.myschool.mosreg.ru/instructions/app-diary/mobile-diary/satellite-for-student/
Единый календарь в мобильном приложении,https://help.myschool.mosreg.ru/instructions/app-diary/section-schedule/unified-calendar-app/
Рейтинг учащегося в мобильном приложении,https://help.myschool.mosreg.ru/instructions/app-diary/school-section/rating-mobile/
Изменение аватара и контактных данных в мобильном дневнике,https://help.myschool.mosreg.ru/instructions/app-diary/settings-section/changing-data/
Изменение контактных данных детей в мобильном дневнике,https://help.myschool.mosreg.ru/instructions/app-diary/settings-section/changing-children-data/
Возможности мобильного приложения для учителя,https://help.myschool.mosreg.ru/instructions/app-journal/teacher-mobile-app/mobile-app/
Начало работы в мобильном приложении учителя,https://help.myschool.mosreg.ru/instructions/app-journal/working-mobile-app/beginningwork/
Раздел «Расписание»,https://help.myschool.mosreg.ru/instructions/app-journal/working-mobile-app/schedule/
Раздел «Журналы»,https://help.myschool.mosreg.ru/instructions/app-journal/working-mobile-app/sectionjournal/
Возможности домашних заданий,https://help.myschool.mosreg.ru/instructions/digital-homework/acquaintance-homework/opportunities-homework/
Создание домашнего задания,https://help.myschool.mosreg.ru/instructions/digital-homework/homework-teacher/homework-creating/
Проверка домашнего задания,https://help.myschool.mosreg.ru/instructions/digital-homework/homework-teacher/homework-check/
Выполнение домашнего задания,https://help.myschool.mosreg.ru/instructions/digital-homework/homework-student/homework/
Работа в сервисе «Мониторинг образования»,https://help.myschool.mosreg.ru/instructions/education-monitoring/educational-opportunities/monitoring/
Показатели раздела «Статистика»,https://help.myschool.mosreg.ru/instructions/education-monitoring/educational-opportunities/statistics/